description,genres,img,last_chapter,link,origin,published_date,state,title,type
"A l’époque maudite du collègue, Ai Maekawa était une « Jimmy », autrement dit une fille difficilement reconnaissable en tant que fille. Kilos en trop, acné, coiffure ringarde, aucun maquillage et surtout vêtements démodés, culottes de grand-mère ... Bref, quelqu’un qui ne prend pas soin d’elle, qui sent son cœur palpiter quand un garçon approche et qui ne sait plus où se mettre quand on lui adresse la parole. Et bien évidemment, incapable de riposter si on l’attaque, et bien trop naïve pour voir autre chose que sa pitoyable réalité. Il pèse sur les Jimmy une sombre menace, malédiction qui hante Ai tant on le lui a répété : rester vierge jusqu’à ses trente ans ! Hors de question pour elle de se laisser faire sans rien entreprendre, alors pour le lycée elle prend les grands moyens. Établissement où personne ne la connait, régime, dépenses exagérées dans des produits de beauté et voilà qu’elle devient une jeune fille superbe, superficielle à souhaits et totalement améliorée par les attendus de la société. La voilà enfin admirée de tous, les garçons la regardent avec envie et elle ... elle tombe amoureuse de Sô Ichinose, le garçon le plus populaire de l’école, le plus beau, le plus ... étrange. Mais Ai arrivera-t-elle à camoufler son sombre passé ?",Shōjo,/imgs/mangas/100-doubt.jpg,https://www.japscan.me/manga/100-doubt/,https://www.japscan.me/manga/100-doubt/,Japon,,,Manga 100% Doubt,2000
"Un groupe de jeunes gens tourmentés par des fantômes s'unissent pour trouver une explication scientifique à leurs expériences paranormales - et un moyen de s'en sortir. Dans leur quête désespérée, ils visitent une maison hantée et rencontrent un fantôme terrifiant, assoiffé de sang, au passé tragique. Vont-ils s'en sortir vivants ? Ou deviendront-ils eux aussi possédés par des esprits démoniaques ?","Psychologique, Horreur, Webtoon",/imgs/mangas/0-0-mhz.jpg,https://www.japscan.me/manga/0-0-mhz/,https://www.japscan.me/manga/0-0-mhz/,Corée Du Sud,2012,En Cours,Manhwa 0.0 Mhz,Seinen
"Il y a de cela plus de mille ans, le monde était divisé en deux puissants pays de force égale : l’empire de Barsburg, sous la protection divine de l’Œil du dieu Raphaël, et le royaume de Raggs, protégé par l’Œil du dieu Michael. Lorsque Raggs fut anéanti par la puissance prodigieuse de Barsburg, le destin du monde bascula, en même temps que celui de Teito Klein, un jeune garçon orphelin qui, mystérieusement, n’a plus aucun souvenir de son passé...",Josei,/imgs/mangas/07-ghost.jpg,https://www.japscan.me/manga/07-ghost/,https://www.japscan.me/manga/07-ghost/,Japon,,,Manga 07 Ghost,2005
"Coco, 15 ans est une jeune fille qui a la particularité de voir les fantômes. Mais un jour, en allant au lycée elle voit pour la première fois deux démons, deux frères terriblement beaux : Reo et Toa. Alors qu’elle se fait agresser par l’esprit d’un chien noir, Coco, pleine de pitié pour cet esprit, dégage un pouvoir spécial qui va intéresser les deux frères démons. Quel est ce pouvoir qui habite la jeune et qui attire les démons?",Shōjo,/imgs/mangas/100-demons-of-love.jpg,https://www.japscan.me/manga/100-demons-of-love/,https://www.japscan.me/manga/100-demons-of-love/,Japon,,,Manga 100 Demons Of Love,2012
"Hiroshi a trouvé un téléphone portable cassé dans la rue et l’emmène ensuite dans un magasin afin de le faire réparer. Quand il le reçoit à la maison, il a à la place une jeune fille qui fait téléphone! Hiroshi ne veut juste qu’un téléphone portable normal qu’il peut montrer à ses camarades, mais il ne peut pas le rendre car cela couterai énormément d’argent d’après le contrat. C’est alors que Hiroshi, découvre les avantages et les désaventages d’avoir une fille-téléphone, qui s’appelle Eko.",Shōnen,/imgs/mangas/090-eko-to-issho.jpg,https://www.japscan.me/manga/090-eko-to-issho/,https://www.japscan.me/manga/090-eko-to-issho/,Japon,,,Manga 090 Eko To Issho,2006
"Petite anthologie d'histoires écrites par différentes auteures.
1. Kodomo Jya, Naino - Ririko Yoshioka
Nano et Ryou sont deux amis d'enfances très proche l'un l'autre. Quand ils était jeunes Nano promis à Ryou de le protéger de tous les dangers comme le ferait une grande sœur. Mais quelques années plus tard, les rôles se sont peut-être inversés.
2. Natsu ga Chikai - Ayako Kimura
Asamizu aime Tsuji Hideto et, afin de pouvoir lui parler tous les jours, elle viole délibérément les règlements de l'école afin de lui convenir.
3. HOLE - Kirameku Sekai - Rie Takahashi
Il n'arrêtait pas de la regarder. Elle ne pouvait pas s'empêcher de le regarder. Je n'ai jamais confessé mes sentiments à mon amour non partagé. Afin de changer une vie de regret maintenant, elle passe par l'ouverture! Ils n'ont jamais avoué leurs sentiments. Kazuma déménagea et un événement improbable arriva. Que deviendra la vie pleine de regrets de Wakaki ?
4. BURNIN' VALENTINE - Kinoko Higurashi
Kazuki et Souma sont des ""amis"" depuis trois ans. Kazuki a finalement décidé de se confesser et elle essaie de lui donner des chocolats faits à la main, mais ...?!
5. Koizaki - Megumi Higuchi
Le destin a mis Karuto et Riko dans la même classe ! Leur amour s'épanouira-t-il comme une fleur de cerisier?!
6. Mame to Kurasu - Okinoko
Dans ce chapitre, nous suivons la très douce relation amoureuse entre le mystérieux Mame, et l'élève Makoto.",Shōjo,/imgs/mangas/100-gokuama-kareshi.jpg,https://www.japscan.me/manga/100-gokuama-kareshi/,https://www.japscan.me/manga/100-gokuama-kareshi/,Japon,,,Manga 100% Gokuama Kareshi!,2009
"Taro a enfin pu avouer à son amie d’enfance Umi qu’il l’aime depuis toujours ! Mais à cet instant, s’affiche le nombre 100 devant la jeune fille… Car Taro a un pouvoir spécial : celui de visualiser un compte à rebours sur tous les êtres vivants qui ont moins de 100 jours à vivre ! Ensemble, le couple va faire face au destin et tenter d’arrêter le décompte fatidique…",Shōjo,/imgs/mangas/100-jours-avant-ta-mort.jpg,https://www.japscan.me/manga/100-jours-avant-ta-mort/,https://www.japscan.me/manga/100-jours-avant-ta-mort/,Japon,,,Manga 100 Jours Avant Ta Mort,2018
"Élevant une centaine de héros et mettant fin à la guerre avec un dieu maléfique, Eisen a sauvé le monde. Après avoir été gravement blessé en protégeant les héros, il est parti dans l'Autre Monde pour se rétablir. Pendant ce temps, les héros ont fait usage de leurs capacités pour contribuer grandement au développement du monde. Désireux de rencontrer à nouveau le maître qu'ils admiraient, ils lui firent un compte rendu détaillé de leurs réalisations. En lisant leurs lettres, Eisen prend la décision de partir et de rendre visite à chacun d'entre eux au cours de son voyage à travers le pays.",Shōnen,/imgs/mangas/100-nin-no-eiyuu-o-sodateta-saikyou-yogensha-wa-boukensha-ni-natte-mo-sekaijuu-no-deshi-kara-shitawarete-masu.jpg,https://www.japscan.me/manga/100-nin-no-eiyuu-o-sodateta-saikyou-yogensha-wa-boukensha-ni-natte-mo-sekaijuu-no-deshi-kara-shitawarete-masu/,https://www.japscan.me/manga/100-nin-no-eiyuu-o-sodateta-saikyou-yogensha-wa-boukensha-ni-natte-mo-sekaijuu-no-deshi-kara-shitawarete-masu/,Japon,,,"Manga 100-Nin No Eiyuu O Sodateta Saikyou Yogensha Wa, Boukensha Ni Natte Mo Sekaijuu No Deshi Kara Shitawarete Masu",2018
À venir...,Shōjo,/imgs/mangas/10-years-in-friend-zone.jpg,https://www.japscan.me/manga/10-years-in-friend-zone/,https://www.japscan.me/manga/10-years-in-friend-zone/,Corée Du Sud,,,Manhwa 10 Years In Friend Zone,2018
"Même si je n'ai pas d'ailes, je peux voler...",Shōjo,/imgs/mangas/100-jours-de-reve.jpg,https://www.japscan.me/manga/100-jours-de-reve/,https://www.japscan.me/manga/100-jours-de-reve/,Japon,,,Manga 100 Jours de Rêve,2005
